,表达式,fitness,OOB fitness,训练集IC,样本外IC,训练集IR,样本外IR,训练集RankIC,样本外RankIC
0,"common_mul(common_add(common_inv(最低价), 成交额), dynamic_ts_max(成交额,40))",0.04639856341530608,0.006625001559700536,-0.04639856341530608,-0.006625001559700536,0.14288481818440243,0.020209089126158236,-0.03720799904102467,-0.05452546892014436
1,"common_tan(common_min(收盘价, common_sub(成交量, 成交额)))",0.0392090667312741,0.0027024063739635577,-0.0392090667312741,0.0027024063739635577,0.16059589706343502,0.009789311858016507,-0.03138599164186152,0.021608012611879213
2,"common_max(dynamic_ts_max(common_mul(成交量, 最高价),38), common_abs(成交额))",0.03829744104145764,0.0011359637003692503,-0.03829744104145764,-0.0011359637003692503,0.12802163081865345,0.003696335851844127,-0.014751039922080189,-0.034131633105559105
3,"common_mul(最高价, 成交量)",0.03702563573044161,0.01360131599402208,-0.03702563573044161,-0.01360131599402208,0.091322948981487,0.04139751061318424,-0.012275100125937816,-0.03379721029357772
4,"common_min(common_sqrt(common_sub(最低价, 开盘价)), common_inv(common_inv(开盘价)))",0.0361651918442607,0.013852971117168643,-0.0361651918442607,0.013852971117168643,0.11717334112982801,0.03951734261515874,-0.0418534191779519,-0.023364625108781834
5,"common_min(common_sqrt(0.627), common_log(开盘价))",0.035667136655808944,0.013556122486602889,-0.035667136655808944,0.013556122486602889,0.20257468365976677,0.0584734021254769,-0.053739522091587694,0.012298800962818945
6,"dynamic_ts_max(common_add(收盘价, 成交量),38)",0.03506104145688011,0.00634719384588197,-0.03506104145688011,-0.00634719384588197,0.10614547796592101,0.022039682813729894,-0.01839428596882176,-0.03848487315306106
7,"dynamic_ts_std(common_sub(成交额, 最高价),56)",0.03192147687530125,0.010736491449455715,-0.03192147687530125,-0.010736491449455715,0.08500985064926143,0.03430439437590823,0.0013094693878977406,-0.017203256747405707
8,"common_mul(收盘价, 成交额)",0.03191091135497895,0.008397213165501105,-0.03191091135497895,0.008397213165501105,0.08438367694404406,0.02333053467188035,-0.020775336320459505,-0.028119223791336263
9,"common_div(最低价, 收盘价)",0.031531008066028696,0.08531015704553753,0.031531008066028696,0.08531015704553753,0.08524761924133195,0.256738817819191,0.0640714025515601,0.12495246232130854
