,表达式,fitness,代数,OOB fitness,训练集IC,样本外IC,训练集IR,样本外IR,训练集RankIC,样本外RankIC
0,"common_add(common_mul(common_inv(成交量), 成交量), common_sub(最高价, dynamic_ts_std(收盘价,32)))",0.025388531256780183,0,0.024513666214530393,0.025388531256780183,0.024513666214530393,0.07289561750073598,0.06735298395782365,-0.013272655116262466,0.0039377322484850045
1,"dynamic_ts_max(成交额,40)",0.036213174192998764,0,0.0023660676361208994,-0.036213174192998764,-0.0023660676361208994,0.12288027702938056,0.007682914282877565,-0.02301339933658272,-0.03330958353292385
2,"common_mul(common_log(成交额), common_sub(-0.095, common_add(成交量, 最高价)))",0.0222412240992973,0,0.0285993395582255,0.0222412240992973,0.0285993395582255,0.052667122294764404,0.09517105613005981,0.010580022881985923,0.04240764142018413
3,"common_mul(common_min(common_sub(最低价, 成交额), common_max(-0.902, 收盘价)), common_min(dynamic_ts_max(成交量,18), common_min(成交额, 最高价)))",0.024398974899628275,0,0.008030801970790306,0.024398974899628275,-0.008030801970790306,0.06798302298965021,0.02228440785849544,0.0295080100895304,0.027120105835669026
4,"common_add(common_min(common_max(最高价, 0.256), dynamic_ts_max(最高价,31)), dynamic_ts_std(common_mul(-0.767, 收盘价),20))",0.02942936282458618,0,0.02229296229427351,0.02942936282458618,0.02229296229427351,0.081173765481189,0.06116642502499513,-0.009121903942780585,-0.009825247208102093
5,"common_sqrt(common_sub(成交量, 收盘价))",0.021420228532141813,0,0.0291492191132961,-0.021420228532141813,-0.0291492191132961,0.05329955568051614,0.09572579413828737,-0.009950040061329797,-0.044455587674968995
6,"common_mul(收盘价, common_div(-0.240, common_inv(最低价)))",0.022871134699650967,0,0.02332003251155432,-0.022871134699650967,-0.02332003251155432,0.07138813753126791,0.0636038967803715,0.00599310909147397,-0.008363213792475453
7,"common_add(最低价, 成交额)",0.03685381916607029,0,0.013612632906049457,-0.03685381916607029,-0.013612632906049457,0.09110853172125073,0.041513312849833686,-0.01214551758565678,-0.03324687162725465
8,"common_add(收盘价, 成交量)",0.021349780484942436,0,0.02895110907564679,-0.021349780484942436,-0.02895110907564679,0.05069152300356757,0.09666245323227589,-0.009950040061329797,-0.044455587674968995
9,"common_mul(收盘价, 成交额)",0.03191091135497895,0,0.008397213165501105,-0.03191091135497895,0.008397213165501105,0.08438367694404406,0.02333053467188035,-0.020775336320459505,-0.028119223791336263
10,common_tan(common_abs(common_abs(开盘价))),0.02388993912924859,0,0.015920926567740117,-0.02388993912924859,-0.015920926567740117,0.09396651841499037,0.06524470118060924,-0.03397146119331766,-0.00443757372753082
11,"dynamic_ts_std(common_tan(common_add(成交量, 0.418)),30)",0.026787014508080926,0,0.004955031760582,-0.026787014508080926,-0.004955031760582,0.11952019418848817,0.02023248190502593,0.005170687895395827,-0.014127827986700125
